question_id,subject,topic,difficulty_level,question_text,option_a,option_b,option_c,option_d,correct_option,expected_time_sec
Q00001,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,15,10,21,D,90
Q00002,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,82,67,77,72,D,45
Q00003,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,75,90,85,80,D,45
Q00004,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,25,10,B,90
Q00005,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",19,21,25,23,B,30
Q00006,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",19,15,17,13,B,30
Q00007,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,100,95,110,105,A,45
Q00008,Aptitude,Mixed,1,What is 25% of 200?,60,70,50,40,C,20
Q00009,Aptitude,Mixed,1,What is 25% of 160?,40,60,30,50,A,20
Q00010,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,23,25,19,A,30
Q00011,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,7,6,8,5,B,60
Q00012,Aptitude,Mixed,1,What is 25% of 120?,40,50,20,30,D,20
Q00013,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,25,19,23,A,30
Q00014,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,15,10,25,A,90
Q00015,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,115,130,120,125,C,45
Q00016,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,21,10,15,B,90
Q00017,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,7,9,8,B,60
Q00018,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",16,18,20,22,B,30
Q00019,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,10,15,A,90
Q00020,Aptitude,Mixed,1,What is 25% of 240?,50,80,70,60,D,20
Q00021,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,25,10,B,90
Q00022,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,88,98,83,93,A,45
Q00023,Aptitude,Mixed,1,What is 25% of 240?,50,60,80,70,B,20
Q00024,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,15,25,A,90
Q00025,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",12,10,14,16,A,30
Q00026,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,8,7,9,6,B,60
Q00027,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,7,6,5,8,B,60
Q00028,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,85,80,90,75,B,45
Q00029,Aptitude,Mixed,1,What is 25% of 160?,30,60,50,40,D,20
Q00030,Aptitude,Mixed,1,What is 25% of 280?,80,90,70,60,C,20
Q00031,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,83,88,93,98,B,45
Q00032,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,90,85,100,95,A,45
Q00033,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,21,15,C,90
Q00034,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,108,113,103,118,A,45
Q00035,Aptitude,Mixed,1,What is 25% of 200?,60,50,40,70,B,20
Q00036,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,9,6,8,A,60
Q00037,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,7,8,6,B,60
Q00038,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,6,8,5,7,A,60
Q00039,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,5,7,8,A,60
Q00040,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,23,19,21,D,30
Q00041,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,15,25,A,90
Q00042,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,7,8,9,B,60
Q00043,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,25,15,B,90
Q00044,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,15,10,21,D,90
Q00045,Aptitude,Mixed,1,What is 25% of 120?,20,40,30,50,C,20
Q00046,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,85,100,95,90,D,45
Q00047,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,9,8,6,A,60
